measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,2,Female,22,All ages,572,Eating disorders,2,Percent,2018,8.84712431323522e-06,9.814123965928773e-06,7.687368840339952e-06
1,Deaths,1,Global,3,Both,22,All ages,572,Eating disorders,2,Percent,2018,4.31075029828881e-06,4.861557626792882e-06,3.696921672339391e-06
1,Deaths,1,Global,1,Male,22,All ages,572,Eating disorders,3,Rate,2018,0.00041085224046565776,0.0006017153813672226,9.752051578193982e-05
1,Deaths,1,Global,2,Female,22,All ages,572,Eating disorders,3,Rate,2018,0.005955382175645559,0.006624918211542165,0.005228567620455541
1,Deaths,1,Global,3,Both,22,All ages,572,Eating disorders,3,Rate,2018,0.003172252920353174,0.0035353341366455805,0.0027070189307205265
1,Deaths,1,Global,1,Male,22,All ages,573,Anorexia nervosa,1,Number,2018,15.801488034025452,23.142135936235647,3.750665352229273
1,Deaths,1,Global,2,Female,22,All ages,573,Anorexia nervosa,1,Number,2018,227.25739005363513,252.80688588397192,199.52214586713188
1,Deaths,1,Global,3,Both,22,All ages,573,Anorexia nervosa,1,Number,2018,243.0588780876605,270.8782592348957,207.4125237749758
1,Deaths,1,Global,1,Male,22,All ages,573,Anorexia nervosa,2,Percent,2018,5.144424218882217e-07,7.329715743900159e-07,1.2339945385194474e-07
1,Deaths,1,Global,2,Female,22,All ages,573,Anorexia nervosa,2,Percent,2018,8.84712431323522e-06,9.814123965928773e-06,7.687368840339952e-06
1,Deaths,1,Global,3,Both,22,All ages,573,Anorexia nervosa,2,Percent,2018,4.31075029828881e-06,4.861557626792882e-06,3.696921672339391e-06
1,Deaths,1,Global,1,Male,22,All ages,573,Anorexia nervosa,3,Rate,2018,0.00041085224046565776,0.0006017153813672226,9.752051578193982e-05
1,Deaths,1,Global,2,Female,22,All ages,573,Anorexia nervosa,3,Rate,2018,0.005955382175645559,0.006624918211542165,0.005228567620455541
1,Deaths,1,Global,3,Both,22,All ages,573,Anorexia nervosa,3,Rate,2018,0.003172252920353174,0.0035353341366455805,0.0027070189307205265
1,Deaths,44634,High-middle SDI,1,Male,22,All ages,572,Eating disorders,1,Number,2017,4.255536348805906,7.082425367563931,0.8428322494770067
1,Deaths,44634,High-middle SDI,2,Female,22,All ages,572,Eating disorders,1,Number,2017,35.70805716932278,40.87880333690881,29.726553910382762
1,Deaths,44634,High-middle SDI,3,Both,22,All ages,572,Eating disorders,1,Number,2017,39.96359351812867,46.24160083200881,31.15572201824057
1,Deaths,44634,High-middle SDI,1,Male,22,All ages,572,Eating disorders,2,Percent,2017,7.302063935776445e-07,1.1462507168508108e-06,1.4372359970137806e-07
1,Deaths,44634,High-middle SDI,2,Female,22,All ages,572,Eating disorders,2,Percent,2017,7.201321119430957e-06,8.133185056854931e-06,5.9827995234202094e-06
1,Deaths,44634,High-middle SDI,3,Both,22,All ages,572,Eating disorders,2,Percent,2017,3.709049270059685e-06,4.2514124373434e-06,2.909778207540389e-06
1,Deaths,44634,High-middle SDI,1,Male,22,All ages,572,Eating disorders,3,Rate,2017,0.0006640109973772763,0.0011051035513974271,0.0001315110098293478
1,Deaths,44634,High-middle SDI,2,Female,22,All ages,572,Eating disorders,3,Rate,2017,0.005556342175653626,0.0063609346762851125,0.004625592046239951
1,Deaths,44634,High-middle SDI,3,Both,22,All ages,572,Eating disorders,3,Rate,2017,0.0031135510353384084,0.0036026686158964817,0.0024273325296085835
1,Deaths,44634,High-middle SDI,1,Male,22,All ages,573,Anorexia nervosa,1,Number,2017,4.255536348805906,7.082425367563931,0.8428322494770067
1,Deaths,44634,High-middle SDI,2,Female,22,All ages,573,Anorexia nervosa,1,Number,2017,35.70805716932278,40.87880333690881,29.726553910382762
1,Deaths,44634,High-middle SDI,3,Both,22,All ages,573,Anorexia nervosa,1,Number,2017,39.96359351812867,46.24160083200881,31.15572201824057
1,Deaths,44634,High-middle SDI,1,Male,22,All ages,573,Anorexia nervosa,2,Percent,2017,7.302063935776445e-07,1.1462507168508108e-06,1.4372359970137806e-07
1,Deaths,44634,High-middle SDI,2,Female,22,All ages,573,Anorexia nervosa,2,Percent,2017,7.201321119430957e-06,8.133185056854931e-06,5.9827995234202094e-06
1,Deaths,44634,High-middle SDI,3,Both,22,All ages,573,Anorexia nervosa,2,Percent,2017,3.709049270059685e-06,4.2514124373434e-06,2.909778207540389e-06
1,Deaths,44634,High-middle SDI,1,Male,22,All ages,573,Anorexia nervosa,3,Rate,2017,0.0006640109973772763,0.0011051035513974271,0.0001315110098293478
1,Deaths,44634,High-middle SDI,2,Female,22,All ages,573,Anorexia nervosa,3,Rate,2017,0.005556342175653626,0.0063609346762851125,0.004625592046239951
1,Deaths,44634,High-middle SDI,3,Both,22,All ages,573,Anorexia nervosa,3,Rate,2017,0.0031135510353384084,0.0036026686158964817,0.0024273325296085835
1,Deaths,44637,Low SDI,1,Male,22,All ages,558,Mental disorders,1,Number,2017,0.06326403476594847,0.318929512628145,0.004469947999376599
1,Deaths,44637,Low SDI,2,Female,22,All ages,558,Mental disorders,1,Number,2017,0.2116432949821656,1.0811693776104927,0.04070069538876443
1,Deaths,44637,Low SDI,3,Both,22,All ages,558,Mental disorders,1,Number,2017,0.27490732974811466,1.8781522689859755,0.050294157743542976
1,Deaths,44637,Low SDI,1,Male,22,All ages,558,Mental disorders,2,Percent,2017,1.534605944496875e-08,7.563351358439287e-08,1.0263308972755367e-09
1,Deaths,44637,Low SDI,2,Female,22,All ages,558,Mental disorders,2,Percent,2017,5.990835101990887e-08,2.8142138557666356e-07,1.1890297633264698e-08
1,Deaths,44637,Low SDI,3,Both,22,All ages,558,Mental disorders,2,Percent,2017,3.5849554321411784e-08,2.3327232872305803e-07,6.713663065480926e-09
1,Deaths,44637,Low SDI,1,Male,22,All ages,558,Mental disorders,3,Rate,2017,1.2410497105628967e-05,6.256435916574929e-05,8.768690917961179e-07
1,Deaths,44637,Low SDI,2,Female,22,All ages,558,Mental disorders,3,Rate,2017,4.170750385906115e-05,0.00021306073501070814,8.020685985522988e-06
1,Deaths,44637,Low SDI,3,Both,22,All ages,558,Mental disorders,3,Rate,2017,2.7025652373833122e-05,0.0001846378209458748,4.944329512265553e-06
1,Deaths,44637,Low SDI,1,Male,22,All ages,572,Eating disorders,1,Number,2017,0.06326403476594847,0.318929512628145,0.004469947999376599
1,Deaths,44637,Low SDI,2,Female,22,All ages,572,Eating disorders,1,Number,2017,0.2116432949821656,1.0811693776104927,0.04070069538876443
1,Deaths,44637,Low SDI,3,Both,22,All ages,572,Eating disorders,1,Number,2017,0.27490732974811466,1.8781522689859755,0.050294157743542976
1,Deaths,44637,Low SDI,1,Male,22,All ages,572,Eating disorders,2,Percent,2017,1.534605944496875e-08,7.563351358439287e-08,1.0263308972755367e-09
1,Deaths,44637,Low SDI,2,Female,22,All ages,572,Eating disorders,2,Percent,2017,5.990835101990887e-08,2.8142138557666356e-07,1.1890297633264698e-08
1,Deaths,44637,Low SDI,3,Both,22,All ages,572,Eating disorders,2,Percent,2017,3.5849554321411784e-08,2.3327232872305803e-07,6.713663065480926e-09
1,Deaths,44637,Low SDI,1,Male,22,All ages,572,Eating disorders,3,Rate,2017,1.2410497105628967e-05,6.256435916574929e-05,8.768690917961179e-07
1,Deaths,44637,Low SDI,2,Female,22,All ages,572,Eating disorders,3,Rate,2017,4.170750385906115e-05,0.00021306073501070814,8.020685985522988e-06
