mesh,work_id,publication_year
D003865,2480366697,2016
D003865,2480366697,2016
D003865,2531074674,2016
D001321,2554839285,2016
D003865,2558495858,2016
D003865,2558495858,2016
D001008,2236290736,2016
D003865,2400590303,2016
D003865,2339318255,2016
D003865,2339318255,2016
D001289,2400709305,2016
D001523,2515102140,2016
D001523,2520584151,2016
D001523,2509481439,2016
D001523,2509481439,2016
D008607,2559912958,2016
D003865,2402920974,2016
D001714,2402920974,2016
D008607,2259138337,2016
D001523,2294968151,2016
D001523,2344449034,2016
D001289,2294999610,2016
D001714,2278733082,2016
D003865,2346168897,2016
D003865,2346168897,2016
D001289,2566635941,2016
D012559,2528848930,2016
D003865,2533961599,2016
D001523,2305743056,2016
D001523,2523034230,2016
D001523,2553538834,2016
D001523,2482928346,2016
D003865,2508511444,2016
D003865,2546752653,2016
D001523,2340543076,2016
D001523,2340543076,2016
D012559,2291818594,2016
D012559,2544269049,2016
D003865,2558284429,2016
D001523,2301411098,2016
D012559,2290746927,2016
D001523,2519434208,2016
D001523,2519434208,2016
D000856,2309096490,2016
D001289,2305643977,2016
D012559,2560217989,2016
D012559,2412282165,2016
D012559,2417408520,2016
D001321,2566318054,2016
D001289,2511272304,2016
D012559,2411256025,2016
D003865,2567162148,2016
D003865,2567162148,2016
D001523,2417073209,2016
D001289,2550693625,2016
D001289,2550693625,2016
D001008,2275019194,2016
D001523,2545623534,2016
D001008,2423244364,2016
D001523,2507376969,2016
D001523,2493001929,2016
D003865,2517964905,2016
D001523,2511905700,2016
D008607,2337838988,2016
D008607,2337838988,2016
D001714,2297104339,2016
D012559,2297104339,2016
D012559,2508074785,2016
D001289,2337478407,2016
D008607,2312733294,2016
D001068,2486464521,2016
D001523,2525540011,2016
D008607,2463115550,2016
D001714,2530197410,2016
D001714,2326034426,2016
D001008,2515503618,2016
D008607,2546223226,2016
D001321,2546223226,2016
D001289,2469972297,2016
D001289,2469972297,2016
D012559,2308825500,2016
D019964,2564382775,2016
D001068,2522162199,2016
D001068,2522162199,2016
D001714,2513787505,2016
D003865,2510828310,2016
D003865,2510828310,2016
D001523,2417820129,2016
D001321,2438691595,2016
D001289,2336828550,2016
D001068,2492130389,2016
D012559,2567815973,2016
D001714,2537647458,2016
D003865,2537647458,2016
D001523,2333727228,2016
D012559,2550462688,2016
D001714,2550462688,2016
D001523,2323646552,2016
D001523,2499662859,2016
D008607,2497312407,2016
D001068,2394736626,2016
D019964,2560673938,2016
D001068,2561418264,2016
D001523,2463429317,2016
D001523,2463429317,2016
D001008,2471115073,2016
D003865,2261340684,2016
D001008,2284586614,2016
D012559,2549875043,2016
D001321,2271547455,2016
D001289,2471446649,2016
D012559,2282014563,2016
D001068,2265037559,2016
D001008,2498535731,2016
D012559,2423333739,2016
D001321,2562369135,2016
D001523,2538868053,2016
D001523,2538868053,2016
D003865,2524728877,2016
D001714,2524728877,2016
D012559,2499046211,2016
D001523,2466489064,2016
D012559,2504350669,2016
D001008,2528490282,2016
D003865,2272053455,2016
D003865,2272053455,2016
D012559,2407135000,2016
D019955,2295208616,2016
D001714,2336383680,2016
D012559,2478760458,2016
D001714,2479571734,2016
D001714,2479571734,2016
D001523,4232959394,2016
D003865,2460510534,2016
D003865,2460510534,2016
D001008,2289872510,2016
D001068,2199622413,2016
D001068,2199622413,2016
D012559,2312634498,2016
D001321,2233629915,2016
D012559,2417068875,2016
D003865,2529548420,2016
D001714,2293668140,2016
D019955,2514884437,2016
D008607,2212006615,2016
D001523,2518459320,2016
D003865,2268928259,2016
D003865,2268928259,2016
D001321,2591354688,2016
D000856,2412386211,2016
D000856,2412386211,2016
D003865,2537475627,2016
D001523,2519326044,2016
D001008,2413157972,2016
D012559,2572371877,2016
D008607,2298283591,2016
D001523,2474799683,2016
D012559,2531297282,2016
D012559,2531297282,2016
D001523,2543981702,2016
D003865,2522495776,2016
D001523,2525538517,2016
D001714,2339945565,2016
D001523,2418728155,2016
D001714,2410630864,2016
D001008,2337806810,2016
D001289,2327714224,2016
D001523,2556159440,2016
D003865,2561726674,2016
D001321,2564261651,2016
D001008,2282110843,2016
D001008,2282110843,2016
D008607,2378624161,2016
D008607,2378624161,2016
D012559,2551159211,2016
D003865,2387470341,2016
D001289,2328987744,2016
D001321,2526262022,2016
D001523,2401612980,2016
D003865,2549416108,2016
D003865,2549416108,2016
D001523,2517760811,2016
D008607,2340178529,2016
D001523,2342811462,2016
D012559,2468912594,2016
D001068,2308406743,2016
D012559,2514721351,2016
D001714,2514721351,2016
D012559,2566636384,2016
D012559,2566636384,2016
D003865,2509395628,2016
D001523,2258276113,2016
D001523,2466662765,2016
D001523,2466662765,2016
D001523,2268842462,2016
D001068,2585430017,2016
D001068,2585430017,2016
D001321,2235123180,2016
D001523,3021510744,2016
D001714,2468915456,2016
D001523,2345497183,2016
D003865,2274380576,2016
D001523,2318470257,2016
D001523,2318470257,2016
D001523,2551811863,2016
D001523,2385825986,2016
D008607,2342645475,2016
D012559,2335685618,2016
D003865,2330281015,2016
D001714,2273770082,2016
D001523,2417062764,2016
D001714,2342167056,2016
D001714,2342167056,2016
D001008,2226392297,2016
D012559,2566625959,2016
D001714,2566625959,2016
D012559,2407806716,2016
D012559,2510420694,2016
D001523,2345774771,2016
D003865,2308656881,2016
D003865,2308656881,2016
D012559,2413940115,2016
D012559,2413940115,2016
D001523,2339798075,2016
D012559,2513722234,2016
D012559,2515687195,2016
D003865,2515687195,2016
D001714,2515687195,2016
D001068,2398711523,2016
D012559,2554212614,2016
D001523,2513732066,2016
D012559,2321115206,2016
D001289,2553819432,2016
D001289,2553819432,2016
D001523,2522789579,2016
D001714,2273960279,2016
D012559,2566942021,2016
D012559,2508529285,2016
D012559,2316594102,2016
D001523,2471688333,2016
D012559,2338604607,2016
D001523,2345331249,2016
D012559,2556671643,2016
D012559,2552900286,2016
D001523,2342557996,2016
D001321,2560636903,2016
D001523,2272607065,2016
D001523,2272607065,2016
D001289,2531660438,2016
D001714,2342445092,2016
D008607,2288038132,2016
D019964,2563024428,2016
D001714,2282514825,2016
D008607,2315754711,2016
D001321,2950506606,2016
D001523,2420589586,2016
D001523,2420589586,2016
D008607,2239305118,2016
D001523,2528876572,2016
D001068,2274835384,2016
D001321,2333779581,2016
D001008,2521643022,2016
D001523,2194548790,2016
D001714,2512544223,2016
D001523,2314322621,2016
D012559,2268335542,2016
D019964,2492086138,2016
D001008,2492086138,2016
D001068,2290386303,2016
D003865,2520816817,2016
D001008,2520816817,2016
D008607,2518147031,2016
D000856,2342208016,2016
D003865,2551685045,2016
D001523,2531213356,2016
D008607,2398705039,2016
D012559,2528785038,2016
D001321,2417922500,2016
D001523,2346277961,2016
D001008,2339728737,2016
D012559,2510677595,2016
D001008,2519267468,2016
D001008,2408935984,2016
D001008,2408935984,2016
D008607,2520465670,2016
D001523,2517655422,2016
D001289,2261056156,2016
D001289,2261056156,2016
D001523,2297073203,2016
D012559,2259420789,2016
D001068,2550265107,2016
D001289,2405922583,2016
D001008,2560740821,2016
D012559,2531567495,2016
D001008,2413798810,2016
D001523,2279945785,2016
D001523,2279945785,2016
D001523,2519077095,2016
D001523,2417277534,2016
D001523,2565395340,2016
D001523,2482820615,2016
D001714,2510478601,2016
D001289,2499700666,2016
D001523,2418414931,2016
D008607,2537070238,2016
D001289,2334966684,2016
D001523,2429524545,2016
D001008,2298269150,2016
D001008,2298269150,2016
D008607,2345881696,2016
D001321,2460183146,2016
D012559,2330864461,2016
D012559,2514074743,2016
D001289,2324308854,2016
D019964,2266758415,2016
D012559,2266758415,2016
D001289,2536110080,2016
D012559,2466679164,2016
D012559,2340618395,2016
D001714,2335794648,2016
D012559,2381683589,2016
D003865,2381683589,2016
D001714,2381683589,2016
D001523,2402306499,2016
